Borough,Neighbourhood,Latitude,Longitude
North York,Parkwoods,43.7532586,-79.3296565
North York,Victoria Village,43.725882299999995,-79.31557159999998
Downtown Toronto,Harbourfront,43.6542599,-79.3606359
Downtown Toronto,Regent Park,43.6542599,-79.3606359
North York,Lawrence Heights,43.718517999999996,-79.46476329999999
North York,Lawrence Manor,43.718517999999996,-79.46476329999999
Queen's Park,Queen's Park,43.6623015,-79.3894938
Etobicoke,Islington Avenue,43.6678556,-79.53224240000002
Scarborough,Rouge,43.806686299999996,-79.19435340000001
Scarborough,Malvern,43.806686299999996,-79.19435340000001
North York,Don Mills,43.745905799999996,-79.352188
East York,Woodbine Gardens,43.7063972,-79.309937
East York,Parkview Hill,43.7063972,-79.309937
Downtown Toronto,Ryerson,43.6571618,-79.37893709999999
Downtown Toronto,Garden District,43.6571618,-79.37893709999999
North York,Glencairn,43.709577,-79.44507259999999
Etobicoke,Cloverdale,43.6509432,-79.55472440000001
Etobicoke,Islington,43.6509432,-79.55472440000001
Etobicoke,Martin Grove,43.6509432,-79.55472440000001
Etobicoke,Princess Gardens,43.6509432,-79.55472440000001
Etobicoke,Deane Park,43.6509432,-79.55472440000001
Scarborough,Highland Creek,43.7845351,-79.16049709999999
Scarborough,Rouge Hill,43.7845351,-79.16049709999999
Scarborough,Port Union,43.7845351,-79.16049709999999
North York,Flemingdon Park,43.72589970000001,-79.340923
North York,Don Mills,43.72589970000001,-79.340923
East York,Woodbine Heights,43.695343900000005,-79.3183887
Downtown Toronto,St. James Town,43.6514939,-79.3754179
York,Humewood-Cedarvale,43.6937813,-79.42819140000002
Etobicoke,Bloordale Gardens,43.6435152,-79.57720079999999
Etobicoke,Eringate,43.6435152,-79.57720079999999
Etobicoke,Markland Wood,43.6435152,-79.57720079999999
Etobicoke,Old Burnhamthorpe,43.6435152,-79.57720079999999
Scarborough,Guildwood,43.7635726,-79.1887115
Scarborough,Morningside,43.7635726,-79.1887115
Scarborough,Hill,43.7635726,-79.1887115
East Toronto,Beaches,43.67635739999999,-79.2930312
Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064
York,Caledonia-Fairbanks,43.6890256,-79.453512
Scarborough,Woburn,43.7709921,-79.21691740000001
East York,Leaside,43.7090604,-79.3634517
Downtown Toronto,Central Bay Street,43.6579524,-79.3873826
Downtown Toronto,Christie,43.669542,-79.4225637
Scarborough,Cedarbrae,43.773136,-79.23947609999999
North York,Hillcrest Village,43.8037622,-79.3634517
North York,Bathurst Manor,43.7543283,-79.4422593
North York,Downsview,43.7543283,-79.4422593
North York,Wilson Heights,43.7543283,-79.4422593
East York,Thorncliffe Park,43.7053689,-79.34937190000001
Downtown Toronto,Adelaide,43.65057120000001,-79.3845675
Downtown Toronto,King,43.65057120000001,-79.3845675
Downtown Toronto,Richmond,43.65057120000001,-79.3845675
West Toronto,Dovercourt Village,43.66900510000001,-79.4422593
West Toronto,Dufferin,43.66900510000001,-79.4422593
Scarborough,Scarborough Village,43.7447342,-79.23947609999999
North York,Fairview,43.7785175,-79.3465557
North York,Henry Farm,43.7785175,-79.3465557
North York,Oriole,43.7785175,-79.3465557
North York,wood Park,43.7679803,-79.48726190000001
North York,York University,43.7679803,-79.48726190000001
East York,Toronto,43.685347,-79.3381065
Downtown Toronto,Harbourfront,43.6408157,-79.38175229999999
Downtown Toronto,Toronto Islands,43.6408157,-79.38175229999999
Downtown Toronto,Union Station,43.6408157,-79.38175229999999
West Toronto,Little Portugal,43.647926700000006,-79.4197497
West Toronto,Trinity,43.647926700000006,-79.4197497
Scarborough,Birchmount Park,43.7279292,-79.26202940000002
Scarborough,Ionview,43.7279292,-79.26202940000002
Scarborough,Kennedy Park,43.7279292,-79.26202940000002
North York,Bayview Village,43.7869473,-79.385975
North York,CFB Toronto,43.737473200000004,-79.46476329999999
North York,Downsview,43.737473200000004,-79.46476329999999
East Toronto,Danforth,43.6795571,-79.352188
East Toronto,Riverdale,43.6795571,-79.352188
Downtown Toronto,Design Exchange,43.6471768,-79.38157640000001
Downtown Toronto,Toronto Dominion Centre,43.6471768,-79.38157640000001
West Toronto,Brockton,43.6368472,-79.42819140000002
West Toronto,Exhibition Place,43.6368472,-79.42819140000002
West Toronto,Parkdale Village,43.6368472,-79.42819140000002
Scarborough,Clairlea,43.711111700000004,-79.2845772
Scarborough,Golden Mile,43.711111700000004,-79.2845772
Scarborough,Oakridge,43.711111700000004,-79.2845772
North York,Silver Hills,43.7574902,-79.37471409999999
North York,York Mills,43.7574902,-79.37471409999999
North York,Downsview,43.7390146,-79.5069436
East Toronto,Beaches,43.6689985,-79.31557159999998
East Toronto,India Bazaar,43.6689985,-79.31557159999998
Downtown Toronto,Commerce Court,43.6481985,-79.37981690000001
Downtown Toronto,Victoria Hotel,43.6481985,-79.37981690000001
North York,Downsview,43.713756200000006,-79.4900738
North York,Park,43.713756200000006,-79.4900738
North York,Upwood Park,43.713756200000006,-79.4900738
North York,Humber Summit,43.7563033,-79.56596329999999
Scarborough,Cliffcrest,43.716316,-79.23947609999999
Scarborough,Cliffside,43.716316,-79.23947609999999
Scarborough,Scarborough Village,43.716316,-79.23947609999999
North York,Newtonbrook,43.789053,-79.40849279999999
North York,Willowdale,43.789053,-79.40849279999999
North York,Downsview Central,43.7284964,-79.49569740000001
East Toronto,Studio District,43.6595255,-79.340923
North York,Bedford Park,43.7332825,-79.4197497
North York,Lawrence Manor,43.7332825,-79.4197497
York,Del Ray,43.6911158,-79.47601329999999
York,Keelesdale,43.6911158,-79.47601329999999
York,Mount Dennis,43.6911158,-79.47601329999999
York,Silverthorn,43.6911158,-79.47601329999999
North York,Emery,43.7247659,-79.53224240000002
North York,Humberlea,43.7247659,-79.53224240000002
Scarborough,Birch Cliff,43.692657000000004,-79.2648481
Scarborough,Cliffside,43.692657000000004,-79.2648481
North York,Willowdale,43.7701199,-79.40849279999999
North York,Downsview west,43.7616313,-79.52099940000001
Central Toronto,Lawrence Park,43.7280205,-79.3887901
Central Toronto,Roselawn,43.7116948,-79.41693559999999
York,Junction,43.67318529999999,-79.48726190000001
York,Runnymede,43.67318529999999,-79.48726190000001
York,on,43.706876,-79.51818840000001
Scarborough,Dorset Park,43.7574096,-79.27330400000001
Scarborough,Scarborough Town Centre,43.7574096,-79.27330400000001
Scarborough,Wexford Heights,43.7574096,-79.27330400000001
North York,York Mills,43.752758299999996,-79.4000493
Central Toronto,Davisville,43.7127511,-79.3901975
Central Toronto,Forest Hill,43.6969476,-79.41130720000001
Central Toronto,Forest Hill,43.6969476,-79.41130720000001
West Toronto,High Park,43.6616083,-79.46476329999999
West Toronto,Junction,43.6616083,-79.46476329999999
Etobicoke,mount,43.696319,-79.53224240000002
Scarborough,Maryvale,43.750071500000004,-79.2958491
Scarborough,Wexford,43.750071500000004,-79.2958491
North York,Willowdale,43.7827364,-79.4422593
Central Toronto,Toronto,43.7153834,-79.40567840000001
Central Toronto,Annex,43.6727097,-79.40567840000001
Central Toronto,Midtown,43.6727097,-79.40567840000001
Central Toronto,Yorkville,43.6727097,-79.40567840000001
West Toronto,Parkdale,43.6489597,-79.456325
West Toronto,Roncesvalles,43.6489597,-79.456325
Mississauga,Canada Post Gateway Processing Centre,43.6369656,-79.61581899999999
Etobicoke,Kingsview Village,43.6889054,-79.55472440000001
Etobicoke,Martin Grove Gardens,43.6889054,-79.55472440000001
Etobicoke,Richview Gardens,43.6889054,-79.55472440000001
Etobicoke,St. Phillips,43.6889054,-79.55472440000001
Scarborough,Agincourt,43.7942003,-79.26202940000002
Central Toronto,Davisville,43.7043244,-79.3887901
Downtown Toronto,Harbord,43.6626956,-79.4000493
Downtown Toronto,University of Toronto,43.6626956,-79.4000493
West Toronto,Runnymede,43.6515706,-79.4844499
West Toronto,Swansea,43.6515706,-79.4844499
Scarborough,Clarks Corners,43.7816375,-79.3043021
Scarborough,Sullivan,43.7816375,-79.3043021
Scarborough,Tam O'Shanter,43.7816375,-79.3043021
Central Toronto,Moore Park,43.6895743,-79.38315990000001
Central Toronto,Summerhill,43.6895743,-79.38315990000001
Downtown Toronto,Chinatown,43.6532057,-79.4000493
Downtown Toronto,Grange Park,43.6532057,-79.4000493
Downtown Toronto,Kensington Market,43.6532057,-79.4000493
Scarborough,Agincourt,43.8152522,-79.2845772
Scarborough,L'Amoreaux,43.8152522,-79.2845772
Scarborough,Milliken,43.8152522,-79.2845772
Scarborough,Steeles,43.8152522,-79.2845772
Central Toronto,Deer Park,43.68641229999999,-79.4000493
Central Toronto,Forest Hill SE,43.68641229999999,-79.4000493
Central Toronto,Rathnelly,43.68641229999999,-79.4000493
Central Toronto,Hill,43.68641229999999,-79.4000493
Central Toronto,Summerhill,43.68641229999999,-79.4000493
Downtown Toronto,CN Tower,43.6289467,-79.3944199
Downtown Toronto,Bathurst Quay,43.6289467,-79.3944199
Downtown Toronto,Island airport,43.6289467,-79.3944199
Downtown Toronto,Harbourfront,43.6289467,-79.3944199
Downtown Toronto,King and Spadina,43.6289467,-79.3944199
Downtown Toronto,Railway Lands,43.6289467,-79.3944199
Downtown Toronto,Niagara,43.6289467,-79.3944199
Etobicoke,Humber Bay Shores,43.6056466,-79.50132070000001
Etobicoke,Mimico,43.6056466,-79.50132070000001
Etobicoke,New Toronto,43.6056466,-79.50132070000001
Etobicoke,Albion Gardens,43.739416399999996,-79.5884369
Etobicoke,Beaumond Heights,43.739416399999996,-79.5884369
Etobicoke,Humbergate,43.739416399999996,-79.5884369
Etobicoke,Jamestown,43.739416399999996,-79.5884369
Etobicoke,Mount Olive,43.739416399999996,-79.5884369
Etobicoke,Silverstone,43.739416399999996,-79.5884369
Etobicoke,Steeles,43.739416399999996,-79.5884369
Etobicoke,Thistletown,43.739416399999996,-79.5884369
Scarborough,L'Amoreaux,43.799525200000005,-79.3183887
Downtown Toronto,Rosedale,43.6795626,-79.37752940000001
Downtown Toronto,Stn A PO Boxes 25  Esplanade,43.6464352,-79.37484599999999
Etobicoke,Alderwood,43.60241370000001,-79.54348409999999
Etobicoke,Long Branch,43.60241370000001,-79.54348409999999
Etobicoke,west,43.706748299999994,-79.5940544
Scarborough,Upper Rouge,43.836124700000006,-79.20563609999999
Downtown Toronto,Cabbagetown,43.667967,-79.3676753
Downtown Toronto,St. James Town,43.667967,-79.3676753
Downtown Toronto,First Canadian Place,43.6484292,-79.3822802
Downtown Toronto,Underground city,43.6484292,-79.3822802
Etobicoke,Kingsway,43.653653600000005,-79.5069436
Etobicoke,Montgomery Road,43.653653600000005,-79.5069436
Etobicoke,Old Mill,43.653653600000005,-79.5069436
Downtown Toronto,Church and Wellesley,43.6658599,-79.38315990000001
East Toronto,Business Reply Mail Processing Centre 969 ern,43.6627439,-79.321558
Etobicoke,Humber Bay,43.6362579,-79.49850909999999
Etobicoke,King's Mill Park,43.6362579,-79.49850909999999
Etobicoke,Kingsway Park,43.6362579,-79.49850909999999
Etobicoke,Mimico NE,43.6362579,-79.49850909999999
Etobicoke,Old Mill,43.6362579,-79.49850909999999
Etobicoke,Queensway,43.6362579,-79.49850909999999
Etobicoke,Royal York,43.6362579,-79.49850909999999
Etobicoke,Sunnylea,43.6362579,-79.49850909999999
Etobicoke,Kingsway Park,43.6288408,-79.52099940000001
Etobicoke,Mimico NW,43.6288408,-79.52099940000001
Etobicoke,Queensway,43.6288408,-79.52099940000001
Etobicoke,Royal York,43.6288408,-79.52099940000001
Etobicoke,of Bloor,43.6288408,-79.52099940000001
